"Message","Label"
"Win $1000 instantly! Click here: winbig.com","1"
"你好，下午有空一起喝茶吗？","0"
"您的银行账户异常，请立即登录 fakebank.com 验证","1"
"明天是我的生日，欢迎来参加！","0"
"恭喜您获得免费旅游机会，请提供身份证号","1"
"Hey, can you send me the report by tomorrow?","0"
"Get a loan with 0% interest! Apply now: scamloan.net","1"
"请问这个周末你有安排吗？","0"
"Urgent: Your package is delayed. Track it at phishing.link","1"
"今天天气不错，适合户外活动","0"
"赚大钱的机会！只需投资100元，每天收益翻倍","1"
"Reminder: Dentist appointment at 10 AM","0"
"您的手机号中奖了！请回复姓名和地址领取","1"
"Hi, long time no see! How’s everything?","0"
"免费领取iPhone 15，点击链接: freebie.scam","1"
"晚上一起去看电影怎么样？","0"
"Exclusive offer: 90% off luxury watches! Click now","1"
"你今天过得怎么样？有空聊聊吗？","0"
"您的账户被锁定，请访问 secure.fake.com 重置","1"
"明天有个会议，别忘了准备资料","0"
"投资比特币，24小时赚10倍！详情点击","1"
"刚到家，给你发个消息报平安","0"
"恭喜中奖5000元！请提供银行卡号领取","1"
"Hey, want to grab lunch tomorrow?","0"
"Free gift cards worth $500! Redeem at gift.scam","1"
"周末有空吗？想约你出去玩","0"
"您的包裹已丢失，点击 scam.cn 申请赔偿","1"
"Can you call me when you’re free?","0"
"Get rich quick! Join our program for $50","1"
"今天有点忙，晚上再聊吧","0"
"您的信用卡额度已超限，请登录 fixit.fake 解决","1"
"你最近在忙什么？好久没联系了","0"
"Win a luxury car! Enter now at carwin.com","1"
"明天上午10点有空吗？需要开个会","0"
"免费试用最新减肥药，点击订购: slim.scam","1"
"刚看到你的消息，马上回复你","0"
"您的订单异常，请点击 verify.order.com 检查","1"
"Let’s plan a trip this weekend!","0"
"赚外快的机会！每天只需10分钟，点击加入","1"
"今天下雨，记得带伞哦","0"
"Congratulations! You’ve won a $200 voucher. Claim now","1"
"你昨晚睡得好吗？","0"
"紧急通知：您的账户需验证，访问 bank.fake","1"
"Hi, how’s your day going so far?","0"
"免费领取限量版手表，点击 watch.scam","1"
"明天见，记得准时到","0"
"Unlock exclusive discounts! Click dealz.com","1"
"周末有什么计划吗？一起出去吧","0"
"您的手机号码中奖10000元，请回复领取","1"
"Can you help me with this task tomorrow?","0"
"Get a free trial of our premium service! Click now","1"
"今天有点累，打算早点休息","0"
"您的包裹被海关扣留，请访问 customs.fake","1"
"Hey, let’s catch up over coffee soon","0"
"投资100元，月入10万！详情点击","1"
"你今天有空吗？想跟你讨论点事","0"
"Win a dream vacation! Enter at vacation.scam","1"
"明天是周五，终于可以放松一下","0"
"您的账户存在安全隐患，请登录 fix.fake","1"
"刚吃完饭，你呢？","0"
"免费领取最新款手机，点击 phone.scam","1"
"周末想去爬山，你有兴趣吗？","0"
"Exclusive deal: 50% off everything! Shop now","1"
"你最近工作忙吗？有空聊聊","0"
"您的订单已取消，请点击 refund.fake 退款","1"
"Let’s meet at the usual place tomorrow","0"
"赚大钱的机会来了！只需50元加入","1"
"今天天气很好，适合散步","0"
"Congratulations! You’ve won $1000. Claim at win.scam","1"
"你昨晚去哪儿了？没回我消息","0"
"您的银行卡异常，请立即验证: bankscam.com","1"
"Hi, just wanted to say hello!","0"
"免费领取价值500元的礼包，点击 gift.scam","1"
"明天有个活动，你想参加吗？","0"
"Unlock a special offer! Click offerz.com","1"
"你今天过得怎么样？","0"
"您的包裹延误，请访问 track.fake 查询","1"
"Can you send me the details later?","0"
"投资50元，日赚500元！点击了解","1"
"刚忙完，给你发个消息","0"
"Win a free laptop! Enter now at laptop.scam","1"
"周末有空一起吃饭吗？","0"
"您的账户需更新，请登录 update.fake","1"
"Hey, how’s everything going?","0"
"免费试用美容产品，点击 beauty.scam","1"
"明天上午有空吗？想跟你聊聊","0"
"Get 80% off your next purchase! Click now","1"
"你最近怎么样？好久没见了","0"
"您的订单异常，请访问 order.fake 检查","1"
"Let’s hang out this weekend!","0"
"赚快钱的机会！每天10分钟，点击加入","1"
"今天有点冷，注意保暖哦","0"
"Congratulations! You’ve won a free trip. Claim now","1"
"你昨晚睡得好吗？有空聊聊","0"
"紧急：您的账户被盗，请登录 secure.fake","1"
